Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
9.0,69.0,0.7000000000000001,0.57,23.0,0.0,0.57,0.0009000000000000002,0.4214285612106323
200.0,135.0,0.6000000000000001,0.02,92.0,0.0002,0.52,0.002,0.4833333194255829
40.0,224.0,0.0001,0.39,198.0,0.30000000000000004,0.18,0.03,0.5079365372657776
10.0,50.0,0.6000000000000001,0.42,72.0,0.004,0.0,0.009000000000000001,0.4126984179019928
70.0,68.0,0.08,0.29,245.0,0.03,0.3,0.003,0.4126984179019928
600.0,148.0,0.004,0.29,165.0,0.0004,0.74,0.0005,0.4952380955219269
50.0,281.0,5e-05,0.06,290.0,0.004,0.57,0.5,0.41507935523986816
900.0,69.0,0.5,0.48,176.0,0.05,0.51,4e-06,0.3301587402820587
50.0,260.0,8e-05,0.29,226.0,0.9,0.04,0.0002,0.4888888895511627
300.0,168.0,0.9,0.46,242.0,0.01,0.25,0.008,0.4126984179019928
40.0,114.0,3.000000000000001e-05,0.78,73.0,0.0,0.78,8e-06,0.37142857909202576
400.0,283.0,0.0009000000000000002,0.37,237.0,0.5,0.01,2e-05,0.4793650805950165
100.0,80.0,0.0009000000000000002,0.31,57.0,0.0009000000000000002,0.28,8e-06,0.4539682567119598
100.0,95.0,0.003,0.43,25.0,0.1,0.15,0.0001,0.4412698447704315
600.0,251.0,0.004,0.3,138.0,0.8,0.45,0.6000000000000001,0.24761904776096344
8.0,288.0,0.07,0.18,293.0,0.6000000000000001,0.6,0.4,0.4126984179019928
7.0,286.0,0.0,0.4,81.0,7.000000000000001e-05,0.78,5e-06,0.4698412716388702
300.0,62.0,0.002,0.07,247.0,0.5,0.21,0.07,0.4126984179019928
600.0,240.0,0.8,0.71,68.0,0.07,0.77,6.000000000000002e-05,0.4238095283508301
300.0,93.0,0.9,0.3,242.0,0.0,0.03,8e-06,0.43492063879966736
3.0,99.0,3.000000000000001e-05,0.22,92.0,0.4,0.27,0.02,0.4126984179019928
90.0,186.0,0.08,0.11,127.0,0.0006000000000000001,0.78,6.000000000000002e-05,0.5079365372657776
80.0,169.0,0.004,0.71,286.0,0.9,0.22,0.0006000000000000001,0.5142857432365417
